ID,Categoría,Step,Tarea,Descripción,Duración (días),Inicio,Fin,Dependencias,Prioridad,Responsable,Estado,Entregables,Presupuesto USD,Notas
1.1,Blockchain,Setup Ambiente,Instalar Rust y Solana CLI,Configurar ambiente de desarrollo para Solana,1,Día 1,Día 1,Ninguna,Crítica,Blockchain Dev,Pendiente,"Rust instalado, Solana CLI instalado, Anchor instalado",500,Prerequisito para todo desarrollo blockchain
1.2,Blockchain,Setup Ambiente,Configurar Anchor workspace,Crear estructura de proyecto Anchor,1,Día 1,Día 1,1.1,Crítica,Blockchain Dev,Pendiente,"Anchor.toml configurado, Workspace creado",500,
1.3,Blockchain,Setup Ambiente,Setup wallets y devnet,Crear wallets de desarrollo y obtener SOL,1,Día 1,Día 1,1.1,Crítica,Blockchain Dev,Pendiente,"Wallets creados, SOL de devnet obtenido",200,
2.1,Blockchain,Programa Escrow,Crear estructura base,Definir cuentas y estructuras de datos,2,Día 2,Día 3,1.3,Crítica,Blockchain Dev,Pendiente,"EscrowAccount definido, Estados definidos",2000,
2.2,Blockchain,Programa Escrow,Implementar initialize_escrow,Crear instrucción para inicializar escrow,2,Día 2,Día 3,2.1,Crítica,Blockchain Dev,Pendiente,Instrucción initialize_escrow funcionando,2000,
2.3,Blockchain,Programa Escrow,Implementar deposit_to_escrow,Crear instrucción para depositar fondos,2,Día 4,Día 5,2.2,Crítica,Blockchain Dev,Pendiente,Instrucción deposit_to_escrow funcionando,2000,
2.4,Blockchain,Programa Escrow,Implementar confirm_escrow,Crear instrucción para confirmar y liberar fondos,2,Día 4,Día 5,2.2,Crítica,Blockchain Dev,Pendiente,Instrucción confirm_escrow funcionando,2000,
2.5,Blockchain,Programa Escrow,Implementar cancel_escrow,Crear instrucción para cancelar dentro de 120h,2,Día 6,Día 7,2.4,Crítica,Blockchain Dev,Pendiente,Instrucción cancel_escrow con validación 120h,2000,
2.6,Blockchain,Programa Escrow,Testing unitario,Escribir tests para todas las instrucciones,2,Día 8,Día 9,2.5,Crítica,Blockchain Dev,Pendiente,"Tests pasando, 100% coverage",1500,
2.7,Blockchain,Programa Escrow,Deploy a devnet,Desplegar programa a devnet y verificar,1,Día 10,Día 10,2.6,Crítica,Blockchain Dev,Pendiente,"Programa deployed, Program ID documentado",500,
3.1,Blockchain,Programa NFT Mint,Setup Metaplex,Configurar dependencias Metaplex Token Metadata,1,Día 11,Día 11,2.7,Crítica,Blockchain Dev,Pendiente,Metaplex integrado,1000,
3.2,Blockchain,Programa NFT Mint,Definir WeekNFTData,Crear estructura de datos para NFTs,1,Día 11,Día 11,3.1,Crítica,Blockchain Dev,Pendiente,WeekNFTData definido,1000,
3.3,Blockchain,Programa NFT Mint,Implementar mint_week_nft,Crear instrucción para mintear NFT con validación NOM-151,3,Día 12,Día 14,3.2,Crítica,Blockchain Dev,Pendiente,Instrucción mint_week_nft funcionando,3000,
3.4,Blockchain,Programa NFT Mint,Implementar freeze_week_nft,Crear instrucción para congelar NFT (colateral VA-FI),2,Día 15,Día 16,3.3,Crítica,Blockchain Dev,Pendiente,Instrucción freeze_week_nft funcionando,2000,
3.5,Blockchain,Programa NFT Mint,Implementar unfreeze_week_nft,Crear instrucción para descongelar NFT,2,Día 15,Día 16,3.4,Crítica,Blockchain Dev,Pendiente,Instrucción unfreeze_week_nft funcionando,2000,
3.6,Blockchain,Programa NFT Mint,Configurar metadata storage,Setup Arweave o IPFS para metadata,2,Día 17,Día 18,3.3,Crítica,Blockchain Dev,Pendiente,"Arweave configurado, Upload funcionando",1500,
3.7,Blockchain,Programa NFT Mint,Testing unitario NFT,Escribir tests para todas las instrucciones NFT,2,Día 19,Día 20,3.6,Crítica,Blockchain Dev,Pendiente,"Tests pasando, 100% coverage",1500,
3.8,Blockchain,Programa NFT Mint,Deploy a devnet,Desplegar programa NFT a devnet,1,Día 21,Día 21,3.7,Crítica,Blockchain Dev,Pendiente,"Programa deployed, Program ID documentado",500,
4.1,Blockchain,Integración APIs,Actualizar API escrow/deposit,Reemplazar mock con transacción real,2,Día 22,Día 23,2.7,Crítica,Backend Dev,Pendiente,API usando transacciones reales,2000,
4.2,Blockchain,Integración APIs,Actualizar API escrow/confirm,Reemplazar mock con transacción real,2,Día 22,Día 23,2.7,Crítica,Backend Dev,Pendiente,API usando transacciones reales,2000,
4.3,Blockchain,Integración APIs,Actualizar API nft/mint,Reemplazar mock con mint real,2,Día 24,Día 25,3.8,Crítica,Backend Dev,Pendiente,API usando mint real con metadata,2000,
4.4,Blockchain,Integración APIs,Agregar retry logic,Implementar reintentos para transacciones fallidas,1,Día 26,Día 26,4.3,Alta,Backend Dev,Pendiente,Retry logic funcionando,1000,
4.5,Blockchain,Integración APIs,Testing integración E2E,Test completo deposit → confirm → mint,1,Día 26,Día 26,4.4,Crítica,Backend Dev,Pendiente,Tests E2E pasando,1000,
5.1,Blockchain,Deploy Producción,Deploy a testnet,Desplegar ambos programas a testnet,1,Día 27,Día 27,4.5,Crítica,DevOps,Pendiente,"Programas en testnet, Testing completado",500,
5.2,Blockchain,Deploy Producción,Preparar mainnet,Crear wallets multisig y configurar upgrade authority,1,Día 28,Día 28,5.1,Crítica,DevOps,Pendiente,"Wallets creados, SOL preparado",1000,
5.3,Blockchain,Deploy Producción,Deploy a mainnet,Desplegar a mainnet-beta,1,Día 29,Día 29,5.2,Crítica,DevOps,Pendiente,"Programas en mainnet, Monitoreo activo",2000,
5.4,Blockchain,Deploy Producción,Actualizar environment vars,Configurar Program IDs en producción,1,Día 30,Día 30,5.3,Crítica,DevOps,Pendiente,Environment variables actualizadas,500,
6.1,Testing,Setup Testing,Instalar Jest y RTL,Configurar Jest y React Testing Library,1,Día 31,Día 31,Ninguna,Crítica,QA Engineer,Pendiente,"Jest configurado, jest.config.js creado",500,
6.2,Testing,Setup Testing,Instalar Playwright,Configurar Playwright para E2E,1,Día 31,Día 31,Ninguna,Crítica,QA Engineer,Pendiente,"Playwright configurado, playwright.config.ts creado",500,
6.3,Testing,Setup Testing,Setup test database,Crear proyecto Supabase de testing,1,Día 32,Día 32,6.1,Crítica,QA Engineer,Pendiente,Test database configurada,300,
6.4,Testing,Setup Testing,Crear helpers y mocks,Crear utilidades de testing,1,Día 32,Día 32,6.1,Crítica,QA Engineer,Pendiente,Helpers y mocks creados,500,
7.1,Testing,Tests Unitarios,Tests de componentes UI,PropertyCard WeekSelector PaymentMethodSelector etc,3,Día 33,Día 35,6.4,Crítica,QA Engineer,Pendiente,20+ tests de componentes,2000,
7.2,Testing,Tests Unitarios,Tests de hooks,use-wallet use-terms-acceptance use-require-auth,1,Día 36,Día 36,6.4,Crítica,QA Engineer,Pendiente,10+ tests de hooks,1000,
7.3,Testing,Tests Unitarios,Tests de utils,format-currency validate-booking etc,1,Día 37,Día 37,6.4,Crítica,QA Engineer,Pendiente,10+ tests de utils,1000,
7.4,Testing,Tests Unitarios,Tests de forms,LoginForm RegisterForm PropertyForm,1,Día 38,Día 38,6.4,Crítica,QA Engineer,Pendiente,10+ tests de forms,1000,
8.1,Testing,Tests Integración,Tests APIs autenticación,/api/auth/login register logout,1,Día 39,Día 39,6.4,Crítica,QA Engineer,Pendiente,5+ tests de auth APIs,1000,
8.2,Testing,Tests Integración,Tests APIs reservaciones,/api/reservations/create escrow nft,2,Día 40,Día 41,8.1,Crítica,QA Engineer,Pendiente,10+ tests de reservaciones,1500,
8.3,Testing,Tests Integración,Tests APIs pagos,/api/payments webhooks,1,Día 42,Día 42,8.1,Crítica,QA Engineer,Pendiente,5+ tests de pagos,1000,
9.1,Testing,Tests E2E,E2E registro y login,Flujo completo de autenticación,1,Día 43,Día 43,6.2,Crítica,QA Engineer,Pendiente,3+ tests E2E auth,1000,
9.2,Testing,Tests E2E,E2E compra completa,Flujo browse → select → payment → NFT,2,Día 44,Día 45,9.1,Crítica,QA Engineer,Pendiente,5+ tests E2E compra,2000,
9.3,Testing,Tests E2E,E2E flujos admin,create-property approve-kyc manage-escrow,1,Día 46,Día 46,9.1,Alta,QA Engineer,Pendiente,3+ tests E2E admin,1000,
